,Player,final_team,Pos,G,MP,PER,TS%,3PAr,TRB%,USG%,OWS,DWS,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
149,Rodney Hood,POR,SF,0.6435643564356436,0.7062788222774034,0.32322781988408383,0.4074074074074076,0.5512820512820512,0.12533572068039392,0.4301526717557252,0.27701674277016747,0.26654064272211725,0.54,0.46,0.53,0.34,0.4,0.23,0.22,0.06,0.17,0.12,0.18,0.33,0.08,0.21,0.27,0.42
150,Al Horford,PHI,C,0.8613861386138614,0.8020574671869457,0.545697726259474,0.48148148148148134,0.3846153846153846,0.4153983885407341,0.3595419847328244,0.4642313546423136,0.6521739130434783,0.48,0.28,0.34,0.49,0.47,0.12,0.13,0.33,0.47,0.41,0.43,0.29,0.39,0.28,0.18,0.39
151,Danuel House,HOU,SF,0.09900990099009901,0.627172756296559,0.26125724476148016,0.5185185185185185,0.8076923076923077,0.23813786929274844,0.17213740458015267,0.27549467275494677,0.23251417769376181,0.28,0.46,0.57,0.12,0.11,0.15,0.15,0.18,0.27,0.21,0.09,0.38,0.14,0.14,0.24,0.27
152,Dwight Howard,LAL,C,0.6864686468646864,0.6885420361830437,0.6139099420419082,0.6666666666666667,0.01282051282051282,0.8361683079677708,0.36946564885496186,0.4003044140030442,0.671077504725898,0.31,0.0,0.01,0.68,0.56,0.42,0.68,0.76,0.84,0.84,0.08,0.29,0.5,0.51,0.51,0.43
153,Kevin Huerter,ATL,SG,0.11551155115511551,0.7304008513657325,0.21266161390994204,0.3333333333333335,0.6923076923076923,0.15801253357206804,0.25343511450381684,0.22298325722983262,0.14366729678638943,0.41,0.5,0.56,0.18,0.23,0.07,0.05,0.14,0.2,0.17,0.35,0.38,0.14,0.33,0.25,0.29
154,Serge Ibaka,TOR,C,0.8778877887788779,0.7289819084781838,0.4543022737405261,0.48148148148148134,0.358974358974359,0.4713518352730528,0.4229007633587786,0.3181126331811263,0.5236294896030246,0.56,0.28,0.35,0.57,0.56,0.16,0.16,0.37,0.51,0.47,0.05,0.14,0.47,0.33,0.41,0.45
155,Andre Iguodala,MIA,SG,0.6534653465346535,0.5856686768357573,0.2978154257690593,0.48148148148148134,0.5512820512820512,0.24395702775290956,0.06603053435114506,0.34779299847793005,0.4007561436672968,0.11,0.2,0.28,0.19,0.15,0.1,0.11,0.16,0.29,0.24,0.42,0.48,0.25,0.21,0.16,0.14
156,Ersan Ilyasova,MIL,PF,0.8547854785478548,0.49556580347641,0.3624609897458761,0.4074074074074076,0.5384615384615384,0.44091316025067145,0.334351145038168,0.25875190258751907,0.28544423440453687,0.47,0.38,0.48,0.32,0.36,0.22,0.25,0.43,0.45,0.44,0.11,0.33,0.14,0.26,0.45,0.38
157,Joe Ingles,UTA,SF,1.0,0.6324937921248669,0.2987070887204637,0.5925925925925926,0.8333333333333334,0.18934646374216654,0.21106870229007632,0.34094368340943687,0.5482041587901701,0.26,0.5,0.54,0.09,0.11,0.08,0.08,0.04,0.26,0.18,0.47,0.52,0.08,0.42,0.24,0.25
158,Brandon Ingram,NOP,PF,0.5148514851485149,0.8417878680383114,0.32813196611680784,0.3333333333333335,0.2948717948717949,0.23589973142345566,0.47748091603053444,0.22526636225266364,0.27788279773156904,0.56,0.24,0.3,0.55,0.6,0.39,0.45,0.14,0.31,0.25,0.3,0.24,0.19,0.49,0.29,0.49
