,Name,Height (ft),Height (cm)
229,Ivica Zubac,7.0,213.36
230,Rajon Rondo,6.1,185.42
231,Quinn Cook,6.1,185.42
232,Kostas Antetokounmpo,6.10,208.28
233,Dwight Howard,6.10,208.28
234,Anthony Davis,6.10,208.28
235,Dion Waiters,6.3,190.5
236,Avery Bradley,6.3,190.5
237,Talen Horton-Tucker,6.4,193.04
238,Kentavious Caldwell-Pope,6.5,195.58
239,Alex Caruso,6.5,195.58
240,Jared Dudley,6.6,198.12
241,JR Smith,6.6,198.12
242,Danny Green,6.6,198.12
243,Markieff Morris,6.8,203.2
244,Kyle Kuzma,6.8,203.2
245,Devontae Cacok,6.8,203.2
246,LeBron James,6.9,205.74
247,JaVale McGee,7.0,213.36
248,Tyus Jones,6.0,182.88
249,Gorgui Dieng,6.10,208.28
250,Jonas Valanciunas,6.11,210.82
251,Jaren Jackson Jr.,6.11,210.82
252,De’Anthony Melton,6.2,187.96
253,Ja Morant,6.3,190.5
254,Dusty Hannahs,6.3,190.5
255,Grayson Allen,6.4,193.04
256,John Konchar,6.5,195.58
257,Marko Guduric,6.6,198.12
258,Justise Winslow,6.6,198.12
259,Dillon Brooks,6.7,200.66
260,Yuta Watanabe,6.8,203.2
261,Josh Jackson,6.8,203.2
262,Brandon Clarke,6.8,203.2
263,Anthony Tolliver,6.8,203.2
264,Kyle Anderson,6.9,205.74
265,Kyle Alexander,6.10,208.28
266,Kelly Olynyk,6.11,210.82
267,Kendrick Nunn,6.2,187.96
268,Daryl Macon,6.2,187.96
269,Goran Dragic,6.3,190.5
270,Gabe Vincent,6.3,190.5
271,Tyler Herro,6.5,195.58
272,Solomon Hill,6.6,198.12
273,Jae Crowder,6.6,198.12
274,Derrick Jones Jr.,6.6,198.12
275,Andre Iguodala,6.6,198.12
276,Jimmy Butler,6.7,200.66
277,Duncan Robinson,6.7,200.66
278,Udonis Haslem,6.8,203.2
279,KZ Okpala,6.8,203.2
280,Chris Silva,6.8,203.2
281,Bam Adebayo,6.9,205.74
282,Meyers Leonard,7.0,213.36
283,Frank Mason,5.11,180.34
284,Eric Bledsoe,6.1,185.42
285,D.J. Wilson,6.10,208.28
286,Giannis Antetokounmpo,6.11,210.82
287,George Hill,6.3,190.5
288,Wesley Matthews,6.4,193.04
289,Donte DiVincenzo,6.4,193.04
290,Sterling Brown,6.5,195.58
291,Pat Connaughton,6.5,195.58
292,Thanasis Antetokounmpo,6.6,198.12
293,Kyle Korver,6.7,200.66
294,Khris Middleton,6.7,200.66
295,Marvin Williams,6.8,203.2
296,Ersan Ilyasova,6.9,205.74
297,Robin Lopez,7.0,213.36
298,Brook Lopez,7.0,213.36
299,Jordan McLaughlin,5.11,180.34
300,Karl-Anthony Towns,6.11,210.82
301,Malik Beasley,6.4,193.04
302,Josh Okogie,6.4,193.04
303,Jaylen Nowell,6.4,193.04
304,Jacob Evans,6.4,193.04
305,D’Angelo Russell,6.4,193.04
306,Kelan Martin,6.5,195.58
307,Allen Crabbe,6.5,195.58
308,Jarrett Culver,6.6,198.12
309,Evan Turner,6.6,198.12
310,James Johnson,6.7,200.66
311,Omari Spellman,6.8,203.2
312,Jake Layman,6.8,203.2
313,Naz Reid,6.9,205.74
314,Juancho Hernangomez,6.9,205.74
315,Jarred Vanderbilt,6.9,205.74
316,Josh Gray,6.0,182.88
317,Jahlil Okafor,6.10,208.28
318,Jaxson Hayes,6.11,210.82
319,Jrue Holiday,6.3,190.5
320,JJ Redick,6.3,190.5
321,Frank Jackson,6.3,190.5
322,E’Twaun Moore,6.3,190.5
323,Sindarius Thornwell,6.4,193.04
324,Nickeil Alexander-Walker,6.5,195.58
325,Josh Hart,6.5,195.58
326,Zylan Cheatham,6.5,195.58
327,Zion Williamson,6.6,198.12
328,Lonzo Ball,6.6,198.12
329,Kenrich Williams,6.6,198.12
330,Brandon Ingram,6.7,200.66
331,Nicolo Melli,6.9,205.74
332,Derrick Favors,6.9,205.74
333,Jared Harper,5.10,177.8
334,Kadeem Allen,6.1,185.42
335,Bobby Portis,6.10,208.28
336,Dennis Smith Jr.,6.2,187.96
337,Elfrid Payton,6.3,190.5
338,Frank Ntilikina,6.4,193.04
339,Allonzo Trier,6.4,193.04
340,Damyean Dotson,6.5,195.58
341,Reggie Bullock,6.6,198.12
342,RJ Barrett,6.6,198.12
343,Ignas Brazdeikis,6.6,198.12
344,Maurice Harkless,6.7,200.66
345,Kevin Knox II,6.7,200.66
346,Julius Randle,6.8,203.2
347,Taj Gibson,6.9,205.74
348,Mitchell Robinson,7.0,213.36
349,Dennis Schroder,6.1,185.42
350,Chris Paul,6.1,185.42
351,Nerlens Noel,6.10,208.28
352,Mike Muscala,6.10,208.28
353,Danilo Gallinari,6.10,208.28
354,Steven Adams,6.11,210.82
355,Luguentz Dort,6.3,190.5
356,Deonte Burton,6.4,193.04
357,Shai Gilgeous-Alexander,6.5,195.58
358,Hamidou Diallo,6.5,195.58
359,Devon Hall,6.5,195.58
360,Terrance Ferguson,6.6,198.12
361,Andre Roberson,6.7,200.66
362,Isaiah Roby,6.8,203.2
363,Darius Bazley,6.8,203.2
364,Kevin Hervey,6.9,205.74
365,D.J. Augustin,5.11,180.34
366,Josh Magette,6.1,185.42
367,Nikola Vucevic,6.11,210.82
368,Jonathan Isaac,6.11,210.82
369,Markelle Fultz,6.3,190.5
370,Michael Carter-Williams,6.5,195.58
371,Melvin Frazier Jr.,6.5,195.58
372,Wes Iwundu,6.6,198.12
373,Terrence Ross,6.6,198.12
374,James Ennis III,6.6,198.12
375,Gary Clark,6.6,198.12
376,Vic Law,6.7,200.66
377,Evan Fournier,6.7,200.66
378,BJ Johnson,6.7,200.66
379,Al-Farouq Aminu,6.8,203.2
380,Aaron Gordon,6.8,203.2
