,Player,Tm,Pos,G_x,MP_x,PER,TS%,3PAr,TRB%,USG%,TOV%,ORB%,G_y,MP_y,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
942,Noah Vonleh,TOT,C-PF,7,30,17.6,0.838,0.16699999999999998,14.9,14.1,20.5,11.2,7,30,6,1,1,4,5,2,4,3,5,8,2,0,0,2,4,13
943,Nikola Vucevic,ORL,C,62,1998,21.9,0.5489999999999999,0.28,18.1,25.8,7.4,7.3,62,1998,1033,98,289,395,744,131,167,140,533,673,222,54,47,88,135,1215
944,Dean Wade,CLE,PF,12,71,13.9,0.7440000000000001,0.308,14.9,9.9,18.2,4.6,12,71,13,2,4,7,9,0,1,3,16,19,2,2,4,3,8,20
945,Moritz Wagner,WAS,C,45,835,15.1,0.638,0.301,14.3,18.6,17.7,7.0,45,835,266,25,80,120,186,78,95,56,163,219,56,28,19,66,152,393
946,Dion Waiters,TOT,SG,10,207,11.5,0.521,0.475,6.4,25.2,13.1,1.1,10,207,99,15,47,26,52,14,17,2,22,24,20,4,6,16,21,111
947,Dion Waiters,TOT,SG,10,207,11.5,0.521,0.475,6.4,25.2,13.1,1.1,3,42,26,8,17,2,9,0,1,0,11,11,3,0,2,3,5,28
948,Dion Waiters,TOT,SG,10,207,11.5,0.521,0.475,6.4,25.2,13.1,1.1,7,165,73,7,30,24,43,14,16,2,11,13,17,4,4,13,16,83
949,Dion Waiters,TOT,SG,3,42,13.4,0.53,0.654,14.7,30.9,10.2,0.0,10,207,99,15,47,26,52,14,17,2,22,24,20,4,6,16,21,111
950,Dion Waiters,TOT,SG,3,42,13.4,0.53,0.654,14.7,30.9,10.2,0.0,3,42,26,8,17,2,9,0,1,0,11,11,3,0,2,3,5,28
951,Dion Waiters,TOT,SG,3,42,13.4,0.53,0.654,14.7,30.9,10.2,0.0,7,165,73,7,30,24,43,14,16,2,11,13,17,4,4,13,16,83
952,Dion Waiters,TOT,SG,7,165,11.0,0.518,0.41100000000000003,4.3,23.8,14.0,1.3,10,207,99,15,47,26,52,14,17,2,22,24,20,4,6,16,21,111
953,Dion Waiters,TOT,SG,7,165,11.0,0.518,0.41100000000000003,4.3,23.8,14.0,1.3,3,42,26,8,17,2,9,0,1,0,11,11,3,0,2,3,5,28
954,Dion Waiters,TOT,SG,7,165,11.0,0.518,0.41100000000000003,4.3,23.8,14.0,1.3,7,165,73,7,30,24,43,14,16,2,11,13,17,4,4,13,16,83
955,Kemba Walker,BOS,PG,56,1742,20.0,0.575,0.532,6.7,27.2,10.5,2.2,56,1742,889,180,473,198,416,209,242,36,181,217,268,48,28,117,91,1145
956,Lonnie Walker,SAS,SG,61,988,10.5,0.507,0.28300000000000003,7.6,18.7,10.3,2.5,61,988,357,41,101,111,256,44,61,23,116,139,68,32,14,44,78,389
957,Tyrone Wallace,ATL,SG,14,160,3.9,0.389,0.341,7.4,16.0,16.3,2.0,14,160,44,1,15,13,29,11,17,3,19,22,13,7,1,10,19,40
958,Taurean Prince,BRK,SF,64,1857,9.1,0.49700000000000005,0.583,10.6,20.4,14.0,2.8,64,1857,739,146,431,132,308,71,89,50,331,381,116,57,25,127,159,773
959,Derrick Walton,TOT,PG,26,248,8.7,0.617,0.615,3.4,8.1,10.4,0.9,26,248,39,10,24,8,15,7,9,2,14,16,27,7,0,5,21,53
960,Derrick Walton,TOT,PG,26,248,8.7,0.617,0.615,3.4,8.1,10.4,0.9,23,222,36,9,21,8,15,7,9,2,13,15,22,4,0,4,19,50
961,Derrick Walton,TOT,PG,26,248,8.7,0.617,0.615,3.4,8.1,10.4,0.9,3,26,3,1,3,0,0,0,0,0,1,1,5,3,0,1,2,3
962,Derrick Walton,TOT,PG,23,222,8.4,0.626,0.583,3.5,8.3,9.1,1.0,26,248,39,10,24,8,15,7,9,2,14,16,27,7,0,5,21,53
963,Derrick Walton,TOT,PG,23,222,8.4,0.626,0.583,3.5,8.3,9.1,1.0,23,222,36,9,21,8,15,7,9,2,13,15,22,4,0,4,19,50
964,Derrick Walton,TOT,PG,23,222,8.4,0.626,0.583,3.5,8.3,9.1,1.0,3,26,3,1,3,0,0,0,0,0,1,1,5,3,0,1,2,3
965,Derrick Walton,TOT,PG,3,26,11.3,0.5,1.0,2.2,6.7,25.0,0.0,26,248,39,10,24,8,15,7,9,2,14,16,27,7,0,5,21,53
966,Derrick Walton,TOT,PG,3,26,11.3,0.5,1.0,2.2,6.7,25.0,0.0,23,222,36,9,21,8,15,7,9,2,13,15,22,4,0,4,19,50
967,Derrick Walton,TOT,PG,3,26,11.3,0.5,1.0,2.2,6.7,25.0,0.0,3,26,3,1,3,0,0,0,0,0,1,1,5,3,0,1,2,3
968,Brad Wanamaker,BOS,PG,71,1369,12.8,0.5770000000000001,0.282,5.6,15.5,15.3,1.7,71,1369,362,37,102,125,260,126,136,22,122,144,179,61,14,76,133,487
969,T.J. Warren,IND,SF,67,2202,18.4,0.61,0.22699999999999998,7.0,23.3,7.2,3.4,67,2202,997,91,226,443,771,167,204,68,212,280,99,78,34,84,187,1326
970,P.J. Washington,CHO,PF,58,1759,12.4,0.547,0.39,9.8,18.6,12.5,3.5,58,1759,589,86,230,182,359,88,136,58,258,316,123,51,44,93,158,710
971,Yuta Watanabe,MEM,SG,18,105,11.2,0.48,0.235,10.0,15.7,5.1,7.2,18,105,34,3,8,12,26,3,8,7,13,20,5,5,1,2,9,36
972,Tremont Waters,BOS,PG,11,119,4.3,0.381,0.49,5.4,24.2,22.2,0.0,11,119,49,4,24,10,25,8,8,0,12,12,16,10,2,15,13,40
973,Paul Watson,TOT,SF-SG,10,87,12.6,0.517,0.462,10.3,16.1,9.1,2.5,10,87,26,4,12,6,14,7,9,2,15,17,8,4,1,3,5,31
974,Paul Watson,TOT,SF-SG,10,87,12.6,0.517,0.462,10.3,16.1,9.1,2.5,2,17,7,0,3,0,4,0,0,0,2,2,3,1,0,0,1,0
975,Paul Watson,TOT,SF-SG,10,87,12.6,0.517,0.462,10.3,16.1,9.1,2.5,8,70,19,4,9,6,10,7,9,2,13,15,5,3,1,3,4,31
976,Paul Watson,TOT,SF-SG,2,17,-7.1,0.0,0.429,6.3,17.1,0.0,0.0,10,87,26,4,12,6,14,7,9,2,15,17,8,4,1,3,5,31
977,Paul Watson,TOT,SF-SG,2,17,-7.1,0.0,0.429,6.3,17.1,0.0,0.0,2,17,7,0,3,0,4,0,0,0,2,2,3,1,0,0,1,0
978,Paul Watson,TOT,SF-SG,2,17,-7.1,0.0,0.429,6.3,17.1,0.0,0.0,8,70,19,4,9,6,10,7,9,2,13,15,5,3,1,3,4,31
979,Paul Watson,TOT,SF-SG,8,70,17.3,0.675,0.474,11.3,15.9,11.6,3.1,10,87,26,4,12,6,14,7,9,2,15,17,8,4,1,3,5,31
980,Paul Watson,TOT,SF-SG,8,70,17.3,0.675,0.474,11.3,15.9,11.6,3.1,2,17,7,0,3,0,4,0,0,0,2,2,3,1,0,0,1,0
981,Paul Watson,TOT,SF-SG,8,70,17.3,0.675,0.474,11.3,15.9,11.6,3.1,8,70,19,4,9,6,10,7,9,2,13,15,5,3,1,3,4,31
982,Quinndary Weatherspoon,SAS,SG,11,78,3.2,0.336,0.294,4.8,12.7,21.9,1.4,11,78,17,1,5,4,12,1,2,1,6,7,11,3,1,5,8,12
983,Russell Westbrook,HOU,PG,57,2049,21.0,0.536,0.166,11.5,34.4,15.0,5.1,57,2049,1281,55,213,549,1068,290,380,100,351,451,401,93,20,255,200,1553
984,Coby White,CHI,SG,65,1674,11.9,0.506,0.475,7.6,24.4,11.4,1.8,65,1674,792,133,376,179,416,102,129,28,202,230,175,49,6,109,117,859
985,Derrick White,SAS,SG,68,1677,16.4,0.593,0.391,7.2,18.9,12.1,2.3,68,1677,552,79,216,174,336,180,211,35,188,223,241,44,59,89,152,765
986,Hassan Whiteside,POR,C,67,2008,25.0,0.644,0.01,23.6,19.6,12.9,13.6,67,2008,702,4,7,432,695,164,239,258,647,905,78,26,196,120,196,1040
987,Andrew Wiggins,TOT,SF-SG,54,1858,16.4,0.536,0.342,7.8,27.4,10.7,3.6,54,1858,978,111,334,326,644,190,268,66,208,274,198,45,53,132,127,1175
988,Andrew Wiggins,TOT,SF-SG,54,1858,16.4,0.536,0.342,7.8,27.4,10.7,3.6,42,1455,790,91,275,260,515,149,207,48,171,219,155,29,36,107,101,942
989,Andrew Wiggins,TOT,SF-SG,54,1858,16.4,0.536,0.342,7.8,27.4,10.7,3.6,12,403,188,20,59,66,129,41,61,18,37,55,43,16,17,25,26,233
990,Andrew Wiggins,TOT,SF-SG,42,1455,16.1,0.535,0.348,7.9,28.0,10.8,3.4,54,1858,978,111,334,326,644,190,268,66,208,274,198,45,53,132,127,1175
991,Andrew Wiggins,TOT,SF-SG,42,1455,16.1,0.535,0.348,7.9,28.0,10.8,3.4,42,1455,790,91,275,260,515,149,207,48,171,219,155,29,36,107,101,942
992,Andrew Wiggins,TOT,SF-SG,42,1455,16.1,0.535,0.348,7.9,28.0,10.8,3.4,12,403,188,20,59,66,129,41,61,18,37,55,43,16,17,25,26,233
993,Andrew Wiggins,TOT,SF-SG,12,403,17.5,0.542,0.314,7.4,25.4,10.4,4.7,54,1858,978,111,334,326,644,190,268,66,208,274,198,45,53,132,127,1175
994,Andrew Wiggins,TOT,SF-SG,12,403,17.5,0.542,0.314,7.4,25.4,10.4,4.7,42,1455,790,91,275,260,515,149,207,48,171,219,155,29,36,107,101,942
995,Andrew Wiggins,TOT,SF-SG,12,403,17.5,0.542,0.314,7.4,25.4,10.4,4.7,12,403,188,20,59,66,129,41,61,18,37,55,43,16,17,25,26,233
996,Grant Williams,BOS,PF,69,1043,7.9,0.505,0.455,9.1,11.6,17.6,6.1,69,1043,211,24,96,63,115,39,54,59,119,178,68,30,36,50,163,237
997,Johnathan Williams,WAS,C,15,180,14.0,0.5660000000000001,0.059000000000000004,19.4,10.3,11.2,14.0,15,180,34,0,2,19,32,7,13,24,40,64,8,1,8,5,16,45
998,Kenrich Williams,NOP,PF,39,832,7.5,0.429,0.66,11.9,8.9,12.2,6.5,39,832,147,25,97,26,50,9,26,51,135,186,57,27,21,22,88,136
999,Lou Williams,LAC,SG,65,1864,17.3,0.546,0.337,5.6,28.4,14.4,1.8,65,1864,936,111,315,280,621,292,339,31,170,201,365,43,12,182,80,1185
1000,Marvin Williams,TOT,PF,58,1129,11.2,0.5870000000000001,0.584,8.5,12.5,10.2,2.8,58,1129,267,56,156,63,111,49,57,30,153,183,60,36,30,33,103,343
1001,Marvin Williams,TOT,PF,58,1129,11.2,0.5870000000000001,0.584,8.5,12.5,10.2,2.8,41,808,210,44,117,50,93,43,50,15,94,109,41,26,22,25,71,275
1002,Marvin Williams,TOT,PF,58,1129,11.2,0.5870000000000001,0.584,8.5,12.5,10.2,2.8,17,321,57,12,39,13,18,6,7,15,59,74,19,10,8,8,32,68
1003,Marvin Williams,TOT,PF,41,808,11.8,0.593,0.557,7.4,14.0,9.7,2.0,58,1129,267,56,156,63,111,49,57,30,153,183,60,36,30,33,103,343
1004,Marvin Williams,TOT,PF,41,808,11.8,0.593,0.557,7.4,14.0,9.7,2.0,41,808,210,44,117,50,93,43,50,15,94,109,41,26,22,25,71,275
1005,Marvin Williams,TOT,PF,41,808,11.8,0.593,0.557,7.4,14.0,9.7,2.0,17,321,57,12,39,13,18,6,7,15,59,74,19,10,8,8,32,68
1006,Marvin Williams,TOT,PF,17,321,9.8,0.5660000000000001,0.684,11.4,8.7,11.8,4.9,58,1129,267,56,156,63,111,49,57,30,153,183,60,36,30,33,103,343
1007,Marvin Williams,TOT,PF,17,321,9.8,0.5660000000000001,0.684,11.4,8.7,11.8,4.9,41,808,210,44,117,50,93,43,50,15,94,109,41,26,22,25,71,275
1008,Marvin Williams,TOT,PF,17,321,9.8,0.5660000000000001,0.684,11.4,8.7,11.8,4.9,17,321,57,12,39,13,18,6,7,15,59,74,19,10,8,8,32,68
1009,Robert Williams,BOS,C,29,388,23.1,0.728,0.0,17.7,13.6,16.9,11.2,29,388,88,0,0,64,88,22,34,40,88,128,27,22,35,21,51,150
1010,Nigel Williams-Goss,UTA,PG,10,50,8.1,0.415,0.43799999999999994,6.6,17.4,15.1,4.6,10,50,16,2,7,3,9,2,2,2,4,6,6,3,1,3,6,14
1011,Zion Williamson,NOP,PF,24,668,24.1,0.616,0.039,11.9,30.5,11.9,10.1,24,668,360,6,14,204,346,114,178,64,86,150,50,16,9,59,42,540
1012,D.J. Wilson,MIL,PF,37,363,8.2,0.475,0.5529999999999999,12.5,18.1,12.0,3.5,37,363,132,18,73,34,59,11,18,12,80,92,25,3,5,19,33,133
1013,Justise Winslow,MIA,SF,11,352,8.5,0.44,0.209,11.6,20.6,14.6,5.3,11,352,129,6,27,44,102,18,27,16,57,73,44,7,5,24,38,124
1014,Christian Wood,DET,PF,62,1325,23.2,0.659,0.276,16.7,23.0,12.0,8.8,62,1325,508,54,140,234,368,180,242,104,286,390,60,34,54,84,98,810
1015,Delon Wright,DAL,SG,73,1570,15.4,0.5539999999999999,0.309,9.4,14.4,13.8,4.7,73,1570,411,47,127,143,284,77,100,70,210,280,244,85,22,73,93,504
1016,Justin Wright-Foreman,UTA,PG,4,45,8.8,0.43700000000000006,0.5,6.1,24.1,12.1,0.0,4,45,20,2,10,5,10,3,4,0,5,5,7,2,0,3,5,19
1017,Thaddeus Young,CHI,PF,64,1591,13.3,0.521,0.369,10.9,19.7,13.9,6.2,64,1591,601,79,222,190,379,42,72,94,221,315,117,92,23,102,134,659
1018,Trae Young,ATL,PG,60,2120,23.9,0.595,0.455,6.5,34.9,16.2,1.6,60,2120,1249,205,568,341,681,481,559,32,223,255,560,65,8,289,104,1778
1019,Cody Zeller,CHO,C,58,1341,18.8,0.5760000000000001,0.157,16.7,20.8,11.9,12.6,58,1341,479,18,75,233,404,122,179,160,251,411,88,40,25,75,140,642
1020,Tyler Zeller,SAS,C,2,4,22.4,0.25,0.0,53.9,43.2,0.0,80.9,2,4,4,0,0,1,4,0,0,3,1,4,0,0,0,0,0,2
1021,Ante Zizic,CLE,C,22,221,16.4,0.597,0.0,16.6,17.5,11.1,9.0,22,221,72,0,0,41,72,14,19,18,48,66,6,7,5,10,27,96
1022,Ivica Zubac,LAC,C,72,1326,21.7,0.6509999999999999,0.005,21.3,16.4,11.8,15.9,72,1326,385,0,2,236,383,124,166,197,346,543,82,16,66,61,168,596
