,Player,final_team,Pos,G,MP,PER,TS%,3PAr,TRB%,USG%,OWS,DWS,Height,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
226,E'Twaun Moore,NOP,SG,0.7441077441077442,0.5920770877944324,0.2585822559072671,0.3846153846153848,0.4358974358974359,0.07586837294332727,0.2881679389312977,0.26636225266362257,0.23251417769376181,0.31578947368421056,0.43,0.34,0.37,0.37,0.4,0.07,0.07,0.1,0.12,0.09,0.23,0.33,0.11,0.21,0.25,0.33
227,Marcus Morris,LAC,SF-PF,0.835016835016835,0.8022840827980012,0.33704859563085154,0.3461538461538463,0.5,0.26005484460694706,0.42022900763358784,0.30136986301369867,0.41965973534971646,0.5789473684210523,0.52,0.4,0.46,0.37,0.44,0.27,0.28,0.2,0.33,0.27,0.14,0.24,0.08,0.26,0.25,0.43
228,Markieff Morris,LAL,PF,0.7643097643097643,0.605638829407566,0.3004904146232724,0.3461538461538463,0.41025641025641024,0.3628884826325412,0.4225190839694657,0.2062404870624049,0.2835538752362949,0.5789473684210523,0.52,0.3,0.37,0.44,0.5,0.22,0.22,0.25,0.43,0.37,0.18,0.38,0.19,0.4,0.53,0.41
229,Monte Morris,DEN,PG,0.18855218855218855,0.511420413990007,0.4404814979937584,0.4615384615384614,0.3974358974358974,0.06764168190127971,0.28854961832061066,0.4284627092846271,0.29111531190926276,0.26315789473684237,0.45,0.32,0.34,0.42,0.44,0.12,0.11,0.08,0.12,0.08,0.49,0.48,0.06,0.14,0.06,0.36
230,Emmanuel Mudiay,UTA,PG,0.6666666666666666,0.5449678800856531,0.2670530539456086,0.1538461538461538,0.358974358974359,0.1531078610603291,0.5580152671755726,0.09665144596651447,0.15689981096408318,0.31578947368421056,0.62,0.28,0.37,0.46,0.6,0.3,0.33,0.12,0.22,0.16,0.52,0.38,0.14,0.65,0.2,0.42
231,Dejounte Murray,SAS,PG,0.27946127946127947,0.4150606709493219,0.3758359340169416,0.1923076923076923,0.16666666666666666,0.3989945155393053,0.44465648854961826,0.16590563165905634,0.45368620037807184,0.3684210526315788,0.48,0.1,0.14,0.52,0.63,0.2,0.22,0.31,0.5,0.44,0.47,0.86,0.14,0.53,0.31,0.33
232,Jamal Murray,DEN,PG,0.6565656565656566,0.7344753747323339,0.4146232724030317,0.3846153846153848,0.5128205128205129,0.1476234003656307,0.5274809160305344,0.35768645357686457,0.2835538752362949,0.3684210526315788,0.66,0.44,0.55,0.46,0.51,0.28,0.26,0.16,0.19,0.16,0.4,0.38,0.11,0.42,0.18,0.53
233,Mike Muscala,OKC,C,0.6464646464646465,0.26659528907922914,0.32322781988408383,0.4999999999999999,0.641025641025641,0.33363802559414996,0.2145038167938931,0.2442922374429224,0.20793950850661627,0.6842105263157894,0.3,0.4,0.47,0.2,0.19,0.17,0.14,0.31,0.38,0.35,0.15,0.29,0.31,0.19,0.39,0.28
234,Larry Nance,CLE,C,0.7171717171717171,0.5292648108493933,0.49710209540793576,0.4999999999999999,0.1794871794871795,0.5452468007312615,0.18587786259541983,0.33257229832572305,0.25897920604914937,0.5263157894736841,0.26,0.1,0.13,0.45,0.4,0.14,0.17,0.59,0.53,0.55,0.22,0.71,0.22,0.23,0.41,0.25
235,Shabazz Napier,WAS,PG,0.6464646464646465,0.29514632405424696,0.3312527864467231,0.3076923076923078,0.6282051282051282,0.10648994515539308,0.4248091603053435,0.2001522070015221,0.19848771266540643,0.15789473684210528,0.47,0.42,0.56,0.24,0.3,0.33,0.32,0.08,0.18,0.13,0.45,0.67,0.06,0.53,0.18,0.39
236,Raul Neto,PHI,PG,0.5084175084175084,0.18272662384011415,0.25144895229603215,0.3461538461538463,0.47435897435897434,0.08135283363802559,0.3022900763358778,0.18417047184170474,0.19281663516068054,0.21052631578947353,0.32,0.32,0.34,0.29,0.32,0.15,0.15,0.06,0.14,0.09,0.44,0.48,0.08,0.49,0.33,0.27
237,Georges Niang,UTA,PF,0.18518518518518517,0.046752319771591735,0.19705751226036558,0.3461538461538463,0.7435897435897435,0.25182815356489946,0.3213740458015267,0.20700152207001526,0.13610586011342155,0.5263157894736841,0.44,0.64,0.69,0.18,0.18,0.09,0.05,0.1,0.31,0.23,0.15,0.19,0.11,0.21,0.35,0.36
238,Joakim Noah,LAC,C,0.09090909090909091,0.3643825838686652,0.4453856442264824,0.1923076923076923,0.01282051282051282,0.7687385740402194,0.23053435114503815,0.21156773211567736,0.223062381852552,0.7368421052631576,0.18,0.0,0.0,0.36,0.42,0.2,0.3,0.9,0.73,0.8,0.4,0.38,0.42,0.47,0.63,0.16
