Player,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
James Nunnally,0.34,0.21,0.25,0.1,0.09,0.09,0.09,0.0,0.07,0.04,0.21,0.04,0.0,0.06,0.23,0.32
James Webb,0.2,0.1,0.16,0.04,0.04,0.0,0.0,0.07,0.2,0.2,0.1,0.02,0.0,0.13,0.19,0.12
James Young,0.23,0.11,0.15,0.09,0.08,0.06,0.08,0.03,0.14,0.11,0.08,0.08,0.0,0.11,0.18,0.22
Jamil Wilson,0.29,0.28,0.23,0.09,0.07,0.01,0.03,0.01,0.15,0.11,0.11,0.05,0.21,0.11,0.28,0.35
Jared Cunningham,0.26,0.1,0.1,0.12,0.16,0.17,0.26,0.01,0.13,0.1,0.15,0.1,0.0,0.21,0.22,0.27
Jared Dudley,0.22,0.13,0.12,0.12,0.09,0.06,0.08,0.02,0.18,0.14,0.24,0.09,0.08,0.17,0.23,0.25
Jared Harper,0.48,0.0,0.26,0.25,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23
Jared Sullinger,0.42,0.04,0.06,0.37,0.36,0.11,0.16,0.1,0.37,0.34,0.27,0.12,0.17,0.22,0.26,0.39
Jared Terrell,0.36,0.11,0.15,0.17,0.2,0.05,0.1,0.01,0.08,0.05,0.33,0.08,0.1,0.36,0.31,0.25
Jarell Eddie,0.39,0.27,0.3,0.07,0.09,0.16,0.16,0.02,0.19,0.14,0.05,0.09,0.0,0.07,0.07,0.37
Jarell Martin,0.29,0.06,0.06,0.24,0.23,0.13,0.16,0.06,0.22,0.22,0.11,0.08,0.19,0.2,0.31,0.31
Jaren Jackson,0.43,0.17,0.16,0.33,0.26,0.18,0.24,0.04,0.19,0.17,0.13,0.09,0.42,0.24,0.32,0.52
Jarnell Stokes,0.25,0.0,0.0,0.32,0.25,0.14,0.28,0.07,0.21,0.25,0.31,0.22,0.0,0.0,0.32,0.36
Jaron Blossomgame,0.24,0.07,0.09,0.19,0.15,0.05,0.06,0.06,0.25,0.22,0.09,0.06,0.15,0.1,0.09,0.23
