,Player,final_team,Pos,G,MP,PER,TS%,3PAr,TRB%,USG%,OWS,DWS,Height,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
102,Dewayne Dedmon,ATL,C,0.7382920110192838,0.42189088444595046,0.4576828266228431,0.625,0.23863636363636362,0.6710586097228532,0.2267175572519084,0.27549467275494677,0.3667296786389414,0.7894736842105264,0.34,0.18,0.21,0.37,0.36,0.2,0.23,0.44,0.73,0.67,0.13,0.36,0.44,0.35,0.51,0.31
103,Matthew Dellavedova,CLE,PG,0.7134986225895317,0.4693324296848526,0.2337715694330321,0.34375,0.5454545454545454,0.06724216265333939,0.21717557251908395,0.21765601217656017,0.14744801512287334,0.31578947368421056,0.29,0.3,0.34,0.15,0.23,0.15,0.14,0.08,0.11,0.08,0.66,0.27,0.0,0.44,0.32,0.19
104,DeMar DeRozan,SAS,SF,0.9393939393939394,0.9383259911894273,0.718570254724733,0.5312500000000002,0.10227272727272727,0.20763289413902772,0.7618320610687024,0.6248097412480975,0.45935727788279773,0.4736842105263159,0.81,0.1,0.14,0.72,0.89,0.69,0.71,0.12,0.27,0.22,0.48,0.36,0.08,0.47,0.18,0.73
105,Cheick Diallo,PHO,C,0.39669421487603307,0.1629955947136564,0.5345110928512737,0.7812500000000001,0.011363636363636364,0.6778736937755565,0.283587786259542,0.23896499238964997,0.17391304347826086,0.5789473684210523,0.39,0.0,0.0,0.58,0.58,0.26,0.31,0.47,0.79,0.73,0.08,0.27,0.31,0.3,0.47,0.41
106,Hamidou Diallo,OKC,SF,0.16804407713498623,0.25415113520840393,0.23418241577649965,0.3125,0.1931818181818182,0.29441163107678325,0.29732824427480914,0.13850837138508373,0.18714555765595464,0.4210526315789476,0.43,0.1,0.15,0.4,0.49,0.22,0.3,0.31,0.31,0.32,0.08,0.55,0.13,0.35,0.46,0.28
107,Gorgui Dieng,MEM,C,0.953168044077135,0.4964418841070823,0.5000000000000001,0.5624999999999999,0.17045454545454544,0.5533848250795093,0.27175572519083974,0.3249619482496195,0.3516068052930057,0.6842105263157894,0.34,0.1,0.11,0.39,0.45,0.27,0.29,0.41,0.54,0.53,0.19,0.55,0.38,0.3,0.38,0.3
108,Spencer Dinwiddie,BRK,SG,0.6804407713498623,0.6801084378176889,0.4700082169268694,0.5000000000000002,0.47727272727272724,0.10404361653793731,0.47633587786259546,0.4018264840182649,0.2627599243856333,0.4210526315789476,0.58,0.4,0.47,0.33,0.41,0.51,0.57,0.11,0.17,0.12,0.65,0.27,0.1,0.47,0.3,0.51
109,Donte DiVincenzo,MIL,SG,0.15702479338842976,0.46086072517790583,0.35456039441248977,0.46875000000000017,0.6136363636363636,0.28305315765561107,0.26717557251908397,0.2138508371385084,0.4820415879017014,0.3684210526315788,0.43,0.38,0.47,0.27,0.27,0.15,0.18,0.25,0.39,0.35,0.31,0.73,0.13,0.37,0.25,0.32
110,Luka Doncic,DAL,PG,0.26721763085399447,0.8695357505930192,0.7908792111750206,0.5312500000000002,0.48863636363636365,0.47160381644706945,0.9057251908396947,0.47336377473363783,0.5047258979206048,0.5263157894736841,0.92,0.54,0.66,0.53,0.59,0.7,0.82,0.2,0.63,0.5,0.76,0.36,0.08,0.86,0.2,0.84
111,Luguentz Dort,OKC,SG,0.0,0.529312097594036,0.14708299096138044,0.37500000000000006,0.5227272727272727,0.09541117673784644,0.16946564885496182,0.16742770167427704,0.17013232514177695,0.31578947368421056,0.3,0.26,0.34,0.19,0.24,0.21,0.23,0.17,0.1,0.1,0.09,0.5,0.05,0.09,0.44,0.2
112,Damyean Dotson,NYK,SG,0.35537190082644626,0.4378176889190104,0.28841413311421527,0.4375000000000001,0.5568181818181818,0.1776465243071331,0.282824427480916,0.20243531202435314,0.13043478260869565,0.4210526315789476,0.47,0.46,0.48,0.24,0.31,0.14,0.15,0.08,0.25,0.18,0.21,0.36,0.05,0.19,0.19,0.33
113,Sekou Doumbouya,DET,SF,0.005509641873278237,0.42968485259234157,0.08956450287592443,0.24999999999999992,0.47727272727272724,0.24988641526578825,0.2763358778625954,0.09893455098934552,0.11342155009451796,0.5789473684210523,0.4,0.26,0.36,0.25,0.32,0.16,0.21,0.14,0.31,0.25,0.05,0.27,0.1,0.26,0.38,0.24
114,Goran Dragic,MIA,PG,0.768595041322314,0.817350050830227,0.5221857025472474,0.5000000000000002,0.3522727272727273,0.14311676510676963,0.583969465648855,0.37899543378995443,0.4026465028355387,0.31578947368421056,0.64,0.34,0.36,0.46,0.55,0.36,0.41,0.12,0.19,0.16,0.57,0.32,0.05,0.56,0.27,0.53
115,Andre Drummond,CLE,C,0.9366391184573003,0.8593697051846833,0.7415776499589154,0.4375000000000001,0.022727272727272728,1.0,0.5152671755725191,0.36073059360730597,1.0,0.6842105263157894,0.55,0.0,0.02,0.65,0.71,0.32,0.57,0.83,0.95,1.0,0.16,0.68,0.44,0.51,0.34,0.47
116,Jared Dudley,LAL,SF,0.71900826446281,0.4110471026770586,0.23048479868529176,0.5624999999999999,0.6818181818181818,0.19491140390731487,0.06488549618320608,0.2503805175038052,0.223062381852552,0.4736842105263159,0.2,0.34,0.34,0.13,0.14,0.12,0.14,0.11,0.27,0.21,0.26,0.36,0.1,0.23,0.37,0.17
117,Kris Dunn,CHI,PG,0.5261707988980716,0.5808200609962725,0.3007395234182416,0.24999999999999992,0.2727272727272727,0.19036801453884594,0.31412213740458017,0.10806697108066972,0.31568998109640833,0.31578947368421056,0.44,0.18,0.21,0.34,0.47,0.14,0.18,0.09,0.28,0.2,0.58,0.86,0.15,0.51,0.46,0.27
